id,day,event_type,category,region,device,account_age_days,num_prev_listings,prev_reports_30d,verification_level,price,num_images,message_length,contains_off_platform,urgency_words,payment_attempt,time_to_first_response_min,is_suspicious
23,4,message_send,fashion,rural,ios,46.8,2,1,1,,1,161,0,0,0,11.0,0
24,5,ad_post,other,metro,android,83.5,4,0,0,148.5,5,25,0,0,0,35.7,0
25,4,message_send,other,metro,android,15.4,5,0,2,181.02,5,59,0,0,0,7.1,0
26,5,message_send,bikes,metro,android,229.5,6,1,1,53.55,2,112,0,0,0,26.4,0
27,2,ad_post,electronics,urban,android,67.9,3,0,1,36.21,1,142,0,0,1,30.2,0
28,3,ad_post,furniture,rural,ios,80.3,2,0,1,62.72,4,111,0,0,0,12.7,0
29,4,ad_post,other,metro,android,62.0,4,0,0,547.17,5,101,0,1,0,4.1,0
30,4,ad_post,phones,metro,android,29.3,2,1,0,21.35,2,135,0,0,1,24.8,1
31,1,message_send,furniture,metro,ios,19.7,3,0,0,719.83,2,203,0,0,1,8.8,0
32,2,ad_post,other,metro,android,171.1,2,0,2,157.22,5,197,0,0,0,10.2,0
33,5,ad_post,other,,ios,37.4,3,0,1,,4,49,0,0,1,3.2,0
34,3,ad_post,bikes,metro,android,189.5,5,0,0,118.64,1,90,0,0,0,13.7,0
35,1,ad_post,furniture,urban,android,49.6,3,0,0,195.36,1,0,0,1,0,8.2,1
36,5,message_send,other,rural,web,22.3,3,0,1,41.4,1,208,0,0,0,20.9,0
37,3,ad_post,furniture,metro,android,47.7,5,1,2,279.23,4,86,0,0,0,20.7,0
38,1,ad_post,phones,metro,android,143.1,4,0,0,306.08,1,168,0,0,0,7.5,0
39,3,ad_post,other,urban,ios,54.2,3,0,0,55.36,0,0,0,0,0,61.1,0
40,1,ad_post,electronics,urban,android,47.7,5,0,2,156.1,5,177,0,0,0,12.4,0
41,1,ad_post,furniture,metro,ios,323.2,4,0,2,63.59,5,0,0,0,0,9.2,0
42,3,ad_post,furniture,urban,android,9.5,3,1,1,307.95,0,113,0,0,0,20.3,0
43,3,ad_post,furniture,metro,android,36.7,3,1,0,89.97,1,117,0,1,0,3.4,1
44,4,ad_post,bikes,urban,ios,10.0,4,0,2,142.46,4,138,0,0,0,6.8,1
45,4,ad_post,other,rural,web,36.6,2,0,1,465.68,5,127,0,0,0,13.9,0
46,3,ad_post,fashion,metro,android,103.0,1,0,1,145.26,2,0,0,0,0,3.0,0
47,3,ad_post,electronics,urban,android,31.2,3,0,1,44.98,2,28,0,0,0,,0
48,4,message_send,other,metro,android,11.1,1,0,0,117.91,1,71,0,0,0,2.4,0
49,4,ad_post,fashion,,android,14.2,5,0,1,46.11,2,164,0,0,1,55.7,0
50,5,message_send,other,metro,android,52.6,1,0,2,122.67,7,179,0,0,0,6.3,0
51,4,ad_post,bikes,urban,android,37.0,6,0,0,92.41,3,66,0,0,0,3.9,0
52,1,ad_post,phones,rural,android,40.2,1,0,1,132.05,3,161,1,0,0,16.0,0
53,5,message_send,electronics,urban,ios,20.2,1,0,0,93.52,5,200,0,0,0,25.5,0
54,1,ad_post,fashion,urban,web,153.0,6,0,0,,3,47,0,0,0,45.9,0
55,3,ad_post,phones,metro,ios,33.7,4,0,0,500.99,4,48,0,0,0,,0
56,4,message_send,electronics,,android,30.5,3,1,2,508.99,3,145,0,0,0,70.7,0
57,2,message_send,other,metro,web,31.7,2,1,1,140.17,3,116,0,0,1,26.8,0
58,4,message_send,furniture,metro,android,17.1,2,0,1,360.19,3,58,0,0,0,14.9,0
59,4,message_send,phones,rural,ios,30.8,5,0,2,66.78,1,62,0,0,0,20.6,0
60,5,message_send,fashion,urban,android,52.0,7,0,1,77.59,1,29,0,0,0,10.6,0
61,1,ad_post,other,urban,android,17.7,4,0,1,399.22,5,119,0,0,0,76.6,0
62,1,ad_post,furniture,metro,android,25.2,1,0,1,82.36,2,39,0,0,0,6.1,0
63,2,ad_post,furniture,urban,android,67.8,1,1,0,80.11,4,122,0,0,0,26.4,0
64,1,ad_post,electronics,urban,android,5.7,2,0,1,769.76,1,40,0,0,1,4.8,0
65,1,ad_post,bikes,metro,web,43.3,1,0,0,277.7,2,100,0,0,0,,0
66,1,ad_post,bikes,rural,android,55.4,2,1,1,234.28,1,0,0,0,0,72.6,0
67,2,ad_post,bikes,metro,ios,32.6,6,0,1,136.63,3,164,0,0,0,31.1,0
68,1,ad_post,electronics,urban,android,40.5,3,0,1,47.64,2,62,0,0,0,22.7,0
69,5,ad_post,bikes,metro,android,39.8,5,0,0,105.62,1,108,0,0,0,26.3,0
70,5,ad_post,phones,metro,android,7.8,6,0,0,270.73,2,81,0,0,0,34.0,0
71,2,ad_post,phones,,android,216.4,1,0,1,357.67,2,70,0,0,0,5.6,0
72,4,ad_post,other,metro,android,518.2,5,0,0,86.15,2,158,0,0,0,3.2,0
73,3,ad_post,furniture,urban,ios,79.4,3,0,0,29.85,3,99,0,0,1,,0
74,4,ad_post,bikes,metro,android,57.7,5,0,1,,3,93,0,0,0,12.8,0
75,2,ad_post,electronics,metro,ios,16.3,4,0,0,,3,148,0,0,0,4.3,0
76,4,ad_post,phones,urban,android,22.4,1,0,0,513.5,3,0,0,0,0,21.0,0
77,5,message_send,other,metro,ios,9.0,2,0,2,93.6,3,255,0,0,0,6.8,0
78,1,ad_post,bikes,metro,android,54.2,2,0,1,108.05,6,108,0,1,0,29.3,0
79,3,ad_post,bikes,metro,android,237.7,3,1,1,145.63,1,61,0,0,0,5.5,0
80,2,ad_post,electronics,urban,ios,8.4,1,0,1,271.06,3,55,0,0,0,15.7,0
81,3,ad_post,electronics,urban,android,58.7,3,0,1,71.42,1,124,0,0,0,10.2,0
82,2,ad_post,electronics,metro,ios,24.0,2,0,0,122.68,0,5,0,0,0,20.5,0
83,3,ad_post,fashion,metro,android,26.4,4,0,2,,4,0,0,0,0,8.3,0
84,1,ad_post,electronics,urban,android,77.3,3,0,1,337.56,4,181,0,0,0,,0
85,2,message_send,fashion,urban,ios,28.9,2,0,0,249.05,4,165,0,0,0,27.4,0
86,4,message_send,furniture,metro,ios,32.9,2,1,1,76.92,1,124,0,0,0,6.4,0
87,4,ad_post,furniture,metro,ios,129.3,2,0,0,53.01,1,117,0,0,0,,0
88,2,ad_post,electronics,metro,android,61.0,2,0,0,64.96,2,113,0,0,1,62.8,0
89,3,ad_post,bikes,metro,ios,93.0,5,0,0,147.61,2,56,0,0,0,17.7,0
90,5,ad_post,other,metro,ios,42.3,3,0,1,39.65,3,109,0,0,0,38.1,0
91,5,message_send,other,,ios,138.8,3,1,1,,2,161,0,0,0,40.6,0
92,3,message_send,other,urban,android,18.7,5,0,2,,4,230,0,0,0,13.4,0
93,3,ad_post,other,metro,ios,169.7,4,0,0,148.17,3,30,0,0,0,3.2,0
94,2,ad_post,bikes,urban,web,696.9,2,0,0,69.6,4,88,0,0,0,15.3,0
95,4,ad_post,bikes,metro,web,32.3,3,1,1,29.95,3,140,0,0,1,49.4,0
96,4,message_send,phones,rural,android,95.3,0,0,2,222.88,3,117,0,0,0,8.9,0
97,3,ad_post,electronics,rural,android,5.9,6,0,1,451.0,3,9,0,0,0,12.4,0
98,1,ad_post,furniture,,android,161.2,1,0,1,,1,33,0,0,0,14.1,0
99,1,message_send,bikes,metro,android,124.3,6,0,0,230.17,3,213,0,0,0,6.2,0
100,1,ad_post,other,metro,ios,77.4,1,1,0,89.35,3,75,0,0,1,17.7,0
101,5,ad_post,phones,metro,android,9.3,2,0,0,141.64,6,87,0,1,0,13.0,0
102,5,ad_post,other,urban,web,89.4,10,0,0,82.91,2,14,0,0,1,17.3,0
103,2,message_send,furniture,urban,android,64.7,3,1,1,162.84,5,181,0,0,0,3.6,0
104,2,ad_post,other,metro,ios,228.8,5,0,0,129.94,4,144,0,0,0,10.6,0
105,5,ad_post,electronics,metro,ios,60.4,1,0,0,220.34,3,102,0,0,0,12.3,0
106,1,ad_post,phones,metro,android,172.2,4,0,0,231.87,3,32,0,0,0,51.6,0
107,2,ad_post,electronics,,android,28.5,2,0,0,203.97,4,143,0,0,0,20.4,0
108,5,ad_post,furniture,urban,android,13.9,3,0,1,,2,87,0,0,0,10.3,0
109,2,ad_post,other,urban,android,55.9,2,0,0,234.97,2,10,0,0,1,7.5,0
110,1,ad_post,other,urban,android,52.9,6,0,2,442.08,1,12,0,0,0,6.2,0
111,5,ad_post,other,rural,android,41.4,5,0,1,226.77,2,6,0,0,0,24.5,0
112,5,ad_post,electronics,urban,ios,260.2,4,0,1,217.23,3,108,0,0,0,,0
113,4,ad_post,furniture,urban,android,79.0,3,0,2,161.63,2,156,0,1,0,14.4,0
114,4,ad_post,electronics,rural,ios,36.4,3,0,1,107.74,4,191,0,0,0,19.1,0
115,3,ad_post,phones,,android,9.5,2,0,0,75.96,7,121,0,0,1,12.3,0
116,2,ad_post,electronics,metro,ios,58.0,1,0,0,343.26,5,147,0,0,1,8.0,1
117,3,ad_post,other,rural,android,8.3,4,0,0,221.52,3,120,0,0,0,17.2,1
118,3,ad_post,bikes,metro,ios,29.5,1,0,0,253.11,5,103,0,1,0,,0
119,2,message_send,fashion,metro,web,42.7,5,0,0,181.04,2,76,0,0,1,19.9,0
120,1,ad_post,other,urban,android,112.0,2,0,1,219.16,2,33,0,0,1,,0
121,3,ad_post,other,urban,ios,82.6,3,0,0,109.21,2,178,0,0,0,13.0,0
122,2,message_send,other,metro,web,48.6,3,0,1,172.02,0,133,0,0,0,8.8,0
123,5,ad_post,fashion,urban,android,60.7,4,0,0,285.68,1,61,0,0,0,53.3,0
124,4,message_send,other,rural,android,16.0,4,1,0,99.13,6,156,1,0,0,25.4,1
125,4,message_send,furniture,urban,android,131.8,3,0,1,312.21,0,146,0,0,0,1.6,0
126,1,message_send,furniture,urban,ios,38.3,2,2,1,279.22,0,128,0,0,1,22.9,1
127,1,message_send,other,urban,android,7.9,2,0,2,220.05,6,191,0,0,0,2.4,0
128,5,ad_post,bikes,,android,11.1,1,0,0,166.67,1,167,0,0,0,16.3,0
129,3,ad_post,fashion,urban,android,28.8,0,1,2,15.04,2,55,0,0,0,28.6,0
130,4,message_send,furniture,metro,android,20.0,4,0,2,176.86,6,183,0,0,0,7.7,0
131,3,ad_post,other,urban,android,35.8,6,0,0,147.1,0,99,0,0,0,62.0,0
132,3,message_send,electronics,urban,web,15.4,7,0,1,329.39,2,217,0,0,1,25.1,1
133,5,message_send,phones,metro,android,117.8,5,0,1,370.63,0,199,0,0,0,6.5,0
134,4,ad_post,other,urban,ios,196.9,2,0,1,40.06,3,7,0,0,1,5.1,0
135,5,ad_post,electronics,urban,ios,71.4,3,0,0,,3,202,0,0,0,5.9,0
136,5,ad_post,phones,metro,android,20.4,6,0,1,53.15,4,87,0,0,1,,1
137,5,message_send,phones,rural,android,84.3,2,0,0,430.0,3,210,0,0,0,27.4,0
138,5,ad_post,phones,metro,android,127.5,2,0,0,18.36,3,109,0,1,1,,0
139,3,ad_post,other,urban,android,29.0,3,0,1,97.07,0,99,0,0,0,25.8,0
140,2,ad_post,other,metro,web,79.0,0,0,0,76.32,1,53,0,0,0,20.1,0
141,4,ad_post,phones,metro,web,96.0,2,2,0,129.46,1,116,0,0,0,20.6,0
142,3,ad_post,electronics,metro,android,65.8,3,0,0,94.47,4,73,0,0,1,15.4,0
143,5,message_send,furniture,,android,56.9,2,0,1,469.92,6,241,0,0,0,7.8,0
144,1,ad_post,other,urban,ios,20.7,4,0,1,140.26,2,212,0,0,1,13.2,0
145,1,message_send,bikes,,android,34.4,3,0,0,36.96,4,79,0,0,1,39.1,1
146,5,message_send,fashion,urban,ios,40.8,4,0,0,460.6,1,216,1,0,0,16.2,1
147,5,ad_post,electronics,urban,ios,90.6,4,0,1,116.21,4,37,0,0,0,1.3,0
148,4,message_send,phones,,ios,26.1,3,0,1,126.96,0,140,0,0,1,39.8,1
149,2,ad_post,electronics,metro,ios,289.8,2,0,0,162.18,2,195,0,0,0,,0
150,2,ad_post,other,rural,android,108.5,2,0,0,73.06,2,134,0,0,0,20.4,0
151,4,ad_post,electronics,rural,ios,31.8,1,0,1,136.67,1,0,0,0,0,44.8,0
152,4,message_send,other,metro,android,11.5,3,0,2,185.96,5,140,0,0,0,3.3,0
153,2,message_send,other,urban,ios,30.1,1,0,0,,3,266,0,0,1,38.5,0
154,1,ad_post,bikes,urban,ios,84.4,3,0,0,50.79,4,0,0,0,0,4.2,0
155,1,message_send,other,urban,android,28.1,4,0,0,341.23,2,209,0,0,0,2.2,0
156,3,ad_post,furniture,urban,web,132.5,2,0,0,543.26,3,84,0,0,1,7.8,0
157,1,message_send,bikes,metro,ios,11.5,1,0,0,,3,118,0,0,0,33.1,0
158,1,ad_post,other,metro,android,175.8,3,0,0,75.81,4,83,0,0,0,17.9,0
159,1,ad_post,bikes,urban,ios,46.2,3,0,0,141.21,2,85,1,0,0,20.9,0
160,3,message_send,other,metro,ios,16.3,5,1,2,147.52,1,70,0,0,0,22.7,0
161,5,ad_post,other,rural,android,53.5,5,1,0,74.7,1,135,1,0,0,10.6,0
162,3,message_send,furniture,urban,android,45.2,1,0,1,,1,144,0,0,0,424.0,0
163,3,ad_post,fashion,urban,android,43.8,4,0,1,139.98,3,35,0,0,0,6.2,0
164,3,ad_post,fashion,metro,ios,44.9,4,0,0,409.88,4,117,0,0,1,31.2,1
165,2,ad_post,electronics,metro,ios,233.6,5,0,0,160.41,5,121,0,0,0,22.6,0
166,3,ad_post,other,metro,android,14.3,4,0,2,385.98,6,56,0,0,0,82.8,0
167,4,message_send,bikes,metro,android,150.8,2,0,1,,2,266,1,0,1,8.6,0
168,3,message_send,furniture,,android,24.9,2,0,1,235.42,4,149,0,0,0,24.9,1
169,2,ad_post,bikes,metro,ios,1367.4,3,0,2,15.06,4,32,1,0,0,19.4,0
170,2,ad_post,bikes,urban,ios,161.1,2,0,1,,4,0,0,0,0,,0
171,1,ad_post,other,metro,android,27.2,2,0,2,,5,14,0,0,1,0.8,1
172,5,message_send,furniture,metro,android,170.9,2,0,1,121.28,5,115,0,1,0,20.1,0
173,2,ad_post,bikes,metro,ios,14.0,3,0,0,27.39,1,146,0,0,0,7.1,0
174,2,ad_post,furniture,rural,android,27.7,1,0,0,370.23,2,24,0,1,0,,0
175,2,message_send,bikes,metro,ios,194.5,4,0,0,101.95,2,73,0,1,0,,0
176,3,ad_post,fashion,metro,android,83.1,4,0,1,25.38,4,72,0,0,0,25.7,0
177,4,ad_post,electronics,metro,ios,27.1,3,0,0,,2,116,0,0,0,9.3,0
178,1,ad_post,electronics,,android,182.0,2,0,1,51.27,5,22,0,1,0,3.4,0
179,3,message_send,other,metro,android,134.1,5,0,0,306.56,2,253,0,1,1,48.4,0
180,3,ad_post,furniture,urban,android,109.8,4,0,0,135.41,0,198,0,0,0,1.0,0
181,5,message_send,bikes,metro,ios,37.2,0,1,0,113.18,2,150,0,1,1,34.9,1
182,5,ad_post,other,metro,android,12.3,4,0,0,65.97,2,121,0,0,1,18.9,0
183,5,ad_post,other,rural,android,9.5,2,0,0,144.81,5,144,0,0,0,7.7,1
184,4,ad_post,furniture,urban,ios,26.1,6,0,0,71.76,2,21,0,0,0,5.0,0
185,1,message_send,other,metro,android,68.3,4,0,0,490.52,0,212,0,0,0,2.5,0
186,2,ad_post,furniture,metro,android,37.6,0,0,0,142.05,4,0,0,0,0,17.9,0
187,1,ad_post,furniture,metro,web,52.2,4,0,1,29.46,2,89,0,0,0,20.1,0
188,4,ad_post,fashion,urban,web,21.9,4,0,2,369.97,2,94,0,0,1,54.2,0
189,4,ad_post,bikes,urban,ios,12.5,3,0,1,134.03,3,108,0,0,0,14.7,0
190,1,message_send,bikes,metro,web,223.9,1,0,0,211.7,3,30,0,0,1,14.1,0
191,3,message_send,electronics,rural,android,13.5,1,0,0,119.71,3,179,0,0,0,12.2,0
192,3,ad_post,furniture,metro,android,65.1,3,0,0,132.95,1,101,0,0,0,3.4,0
193,5,ad_post,bikes,,android,328.3,6,0,1,167.28,2,25,1,0,0,8.2,0
194,3,ad_post,other,urban,android,206.9,5,0,1,103.9,4,98,0,0,0,16.0,0
195,2,message_send,fashion,metro,android,82.8,2,0,0,321.21,4,195,0,0,1,7.5,0
196,3,ad_post,bikes,urban,android,18.8,3,0,0,181.99,7,107,0,0,1,,0
197,3,ad_post,electronics,rural,android,15.7,4,0,0,238.8,6,116,0,1,0,20.3,0
198,4,ad_post,electronics,urban,android,11.8,1,0,0,141.73,5,168,0,0,0,,0
199,5,message_send,bikes,urban,android,22.2,5,0,1,212.97,3,221,0,0,0,21.9,0
200,3,message_send,furniture,rural,android,147.2,0,0,1,51.01,3,82,0,0,1,21.0,0
201,5,ad_post,other,urban,android,20.4,2,0,0,436.3,3,50,0,0,0,45.1,1
202,2,ad_post,phones,metro,android,44.9,4,0,0,,2,131,0,0,0,4.9,0
203,5,ad_post,other,rural,web,180.0,1,0,1,295.55,3,96,0,0,0,42.3,0
204,3,ad_post,bikes,urban,android,15.2,2,0,1,,3,95,0,0,0,6.8,0
205,3,ad_post,furniture,metro,android,68.3,6,1,0,97.19,2,108,0,0,0,4.2,0
206,3,ad_post,electronics,urban,ios,264.2,2,0,1,322.16,2,61,0,0,0,7.5,0
207,1,ad_post,electronics,rural,android,9.7,6,0,0,323.35,3,179,1,0,1,1.1,1
208,4,ad_post,bikes,,ios,5.8,4,0,1,515.82,6,79,0,1,0,30.6,0
209,3,ad_post,furniture,,android,32.0,1,1,0,308.18,6,121,0,0,0,22.2,1
210,2,ad_post,other,rural,ios,106.8,3,0,2,43.1,4,100,0,0,0,2.9,0
211,5,ad_post,other,metro,android,89.1,1,0,0,96.95,5,188,0,1,0,32.8,0
212,5,ad_post,electronics,urban,android,404.7,1,0,1,181.52,2,57,1,1,0,15.7,0
213,2,ad_post,other,,ios,143.3,5,0,2,226.71,6,124,0,0,0,8.5,0
214,2,ad_post,bikes,urban,android,96.3,3,0,1,89.79,2,131,0,0,0,13.4,0
215,2,ad_post,other,urban,ios,21.3,2,0,0,71.83,5,152,0,0,0,8.5,0
216,5,message_send,bikes,rural,android,102.8,2,0,1,208.06,2,178,0,0,0,67.9,0
217,3,message_send,electronics,metro,android,76.6,3,0,0,247.11,5,69,0,0,0,26.2,0
218,5,message_send,phones,metro,android,36.0,5,0,2,227.55,2,177,0,0,0,1.5,0
219,5,message_send,fashion,urban,android,12.9,3,0,0,109.93,1,223,0,0,1,10.1,0
220,1,ad_post,fashion,urban,ios,28.8,2,0,0,1230.83,3,8,0,0,0,10.9,0
221,4,ad_post,bikes,urban,android,44.9,0,0,1,80.85,5,0,0,0,1,3.3,1
222,2,message_send,phones,metro,android,5.8,1,0,2,81.92,1,156,0,0,1,14.7,0
223,2,ad_post,fashion,rural,android,131.5,5,0,1,,4,106,0,0,1,14.7,0
224,1,message_send,other,urban,ios,63.8,5,0,0,464.01,6,226,0,0,0,4.8,0
225,5,ad_post,other,urban,android,114.9,3,0,0,32.14,2,184,0,0,1,21.7,0
226,4,message_send,electronics,metro,ios,14.3,4,0,0,202.96,3,93,0,0,0,40.3,0
227,5,ad_post,furniture,urban,ios,46.2,2,1,1,100.75,5,179,0,0,0,4.6,0
228,4,message_send,furniture,urban,android,39.6,4,0,0,25.89,3,46,0,1,0,6.4,0
229,2,message_send,bikes,metro,ios,38.8,0,1,0,101.84,3,101,0,0,0,78.5,0
230,1,ad_post,furniture,rural,web,66.3,4,0,0,71.64,3,56,0,0,0,,0
231,3,ad_post,electronics,metro,android,55.4,5,0,0,,1,29,0,0,1,9.8,0
232,2,message_send,bikes,rural,ios,69.6,3,0,0,185.05,1,89,0,1,0,8.2,0
233,5,message_send,electronics,rural,ios,63.0,3,0,2,37.33,5,108,0,0,1,21.7,0
234,1,ad_post,phones,rural,ios,139.4,5,1,1,67.14,2,118,0,0,0,23.0,0
235,1,ad_post,other,urban,android,31.7,6,0,0,92.99,4,123,0,0,0,35.4,0
236,3,message_send,other,rural,ios,64.1,1,0,1,309.01,6,192,0,0,0,18.8,0
237,5,ad_post,electronics,urban,android,14.3,1,0,1,510.59,5,111,0,0,0,2.1,0
238,3,ad_post,fashion,rural,android,208.3,5,1,1,103.91,2,178,0,0,0,13.6,0
239,4,message_send,bikes,urban,android,57.0,4,0,0,,2,201,0,0,1,2.1,0
240,1,ad_post,furniture,metro,android,80.2,5,0,0,259.06,2,95,0,0,0,15.5,0
241,1,ad_post,phones,,ios,53.3,2,0,0,129.64,0,44,0,0,1,31.2,1
242,5,ad_post,fashion,rural,ios,59.7,2,0,1,69.98,4,21,0,0,0,12.6,0
243,3,message_send,bikes,metro,ios,189.1,0,0,1,165.16,3,152,0,0,0,5.5,0
244,5,ad_post,phones,urban,android,82.9,2,0,0,139.5,2,182,0,0,0,,0
245,2,ad_post,bikes,metro,android,48.5,4,0,0,31.09,5,187,0,0,1,6.3,1
246,1,message_send,bikes,urban,android,229.5,4,0,0,78.11,0,103,0,0,0,7.1,0
247,3,ad_post,bikes,urban,ios,15.1,3,0,1,289.55,4,89,0,0,0,31.0,0
248,5,message_send,electronics,,ios,19.1,0,0,0,79.68,2,128,0,0,0,80.6,0
249,4,ad_post,furniture,rural,android,28.2,2,0,1,487.72,2,183,0,0,0,9.0,0
250,3,message_send,other,urban,android,75.9,4,0,0,713.92,3,71,0,0,0,4.4,0
251,3,ad_post,other,metro,web,28.6,5,0,1,128.35,5,37,0,0,1,21.1,0
252,1,message_send,fashion,rural,android,31.1,1,0,1,126.68,6,217,0,0,0,11.8,0
253,3,ad_post,furniture,metro,web,28.9,1,0,2,238.43,4,106,1,0,1,11.8,1
254,2,ad_post,furniture,,ios,212.7,2,1,1,130.73,1,11,0,0,0,22.5,0
255,4,ad_post,fashion,urban,android,36.7,5,1,0,156.54,1,100,1,0,0,,1
256,2,ad_post,other,metro,web,30.4,2,0,0,165.26,2,148,0,0,0,4.7,0
257,2,ad_post,furniture,urban,android,91.3,5,0,0,,3,5,0,0,1,7.7,0
258,4,ad_post,electronics,urban,ios,370.7,3,0,2,63.87,5,69,1,0,0,9.2,0
259,2,ad_post,fashion,metro,android,43.5,2,0,0,85.18,5,167,0,0,0,15.0,0
260,5,ad_post,phones,metro,android,312.1,2,0,0,408.62,5,28,0,0,0,16.1,0
261,1,ad_post,fashion,urban,android,57.6,3,0,0,147.17,3,51,0,0,0,6.6,0
262,3,ad_post,phones,urban,android,22.0,2,0,0,142.05,4,91,0,0,0,2.5,0
263,3,ad_post,other,urban,ios,21.7,3,0,0,194.46,2,177,0,0,0,29.1,0
264,4,ad_post,furniture,urban,android,46.6,3,0,0,96.94,6,0,0,0,0,2.8,0
265,2,ad_post,bikes,urban,android,16.2,3,0,0,165.43,2,87,0,0,0,16.1,0
266,1,message_send,furniture,rural,ios,102.0,2,0,1,100.55,4,220,0,0,0,74.7,0
267,2,ad_post,other,,ios,13.9,3,1,0,261.5,3,141,0,0,0,36.2,1
268,3,ad_post,other,urban,ios,159.1,8,0,0,184.2,4,8,0,0,1,108.0,0
269,2,ad_post,other,urban,android,104.0,4,0,0,102.8,4,182,0,0,0,14.2,0
270,1,ad_post,electronics,metro,web,43.9,1,0,0,203.46,8,88,0,0,1,,0
271,1,ad_post,furniture,metro,ios,43.2,3,0,0,114.22,3,124,0,0,1,1.6,0
272,2,ad_post,bikes,rural,android,67.0,0,1,1,37.88,1,170,0,0,1,,0
273,3,message_send,fashion,urban,android,49.1,5,1,2,64.14,3,27,0,0,0,14.4,0
274,4,ad_post,other,urban,android,34.4,4,0,1,263.6,2,50,0,0,0,7.8,0
275,3,ad_post,electronics,urban,android,108.4,5,0,1,210.65,3,186,0,0,1,41.7,0
276,4,message_send,phones,metro,android,28.9,1,0,1,47.46,1,224,0,0,1,13.3,0
277,3,ad_post,furniture,metro,android,13.4,4,0,1,426.63,1,120,0,0,0,6.6,0
278,1,ad_post,bikes,urban,ios,305.1,4,0,1,138.9,4,89,0,0,0,42.3,0
279,4,ad_post,phones,metro,web,64.2,3,0,1,141.02,4,103,0,0,0,10.9,0
280,5,message_send,bikes,urban,web,10.1,3,0,1,296.03,2,125,0,0,1,5.9,0
281,3,ad_post,electronics,urban,android,26.0,4,0,1,127.15,3,45,0,0,1,27.9,0
282,5,ad_post,furniture,rural,android,4.9,3,0,0,80.08,4,124,0,0,1,10.6,1
283,5,ad_post,bikes,rural,android,249.9,1,0,1,111.35,3,112,0,0,0,10.5,0
284,2,ad_post,other,metro,ios,31.7,2,0,2,135.5,0,123,0,0,0,,0
285,2,ad_post,furniture,metro,android,23.9,3,0,0,280.99,3,72,0,0,0,5.1,0
286,4,ad_post,bikes,metro,android,58.1,3,0,1,113.17,5,98,0,0,0,,0
287,2,ad_post,bikes,metro,android,76.2,1,0,0,39.95,2,136,0,1,1,52.4,0
288,2,ad_post,furniture,metro,ios,236.6,3,0,2,148.53,2,13,0,0,1,6.7,0
289,2,ad_post,electronics,urban,ios,52.7,3,0,0,126.34,2,108,0,0,0,9.4,0
290,1,ad_post,furniture,metro,ios,97.4,1,1,1,108.96,5,69,0,0,0,36.6,0
291,3,message_send,bikes,urban,ios,61.4,4,0,0,43.83,3,262,0,0,0,5.3,0
292,5,ad_post,furniture,urban,ios,9.9,2,0,0,226.09,3,116,0,0,0,6.3,0
293,5,ad_post,electronics,metro,web,192.3,3,0,1,157.56,3,25,0,0,0,23.4,0
294,2,ad_post,bikes,urban,android,31.4,2,0,0,138.02,1,75,0,0,0,45.1,0
